Year,Units_Sold,Price_Per_Unit,Discount_Percent,Advertising_Spend,Store_Count,Online_Sales_Percent,Customer_Rating,Toy_Name
2021,2108,52.2,29.78,3291.18,56,15.26,1.5,Teddy Bear
2018,4564,77.06,32.33,47982.98,28,79.41,3.6,Remote Control Car
2025,1195,11.12,21.23,16837.39,151,60.59,3.5,Puzzle Game
2022,960,44.6,34.58,35329.86,159,25.09,1.3,Toy Bike
2019,3356,69.05,37.33,30121.42,194,64.47,2.4,Toy Bike
2021,1616,17.67,39.15,29011.72,189,23.38,4.7,Action Figure
2024,2445,35.95,25.11,29382.84,82,55.23,1.9,Train Set
2017,3055,11.13,39.58,15812.5,16,10.4,3.1,Remote Control Car
2021,4557,66.88,1.27,44440.09,187,84.98,2.4,Teddy Bear
2025,4298,97.23,34.02,46041.11,176,15.12,4.6,Barbie Doll
2025,141,83.57,11.78,32581.76,17,69.99,3.1,Puzzle Game
2022,4042,97.59,13.53,43333.51,35,66.4,2.8,Barbie Doll
2019,380,85.33,4.57,3939.07,95,62.13,4.6,Building Blocks
2018,1004,86.24,9.62,5919.17,187,13.13,3.6,Remote Control Car
2022,3830,59.83,49.6,28394.25,169,62.44,2.4,Action Figure
2022,2651,54.23,20.77,42478.84,37,59.03,5.0,Puzzle Game
2017,3027,43.59,46.39,16456.04,113,60.61,4.7,Puzzle Game
2020,4339,82.72,8.14,27854.74,30,53.06,2.1,Teddy Bear
2019,579,22.3,10.2,1488.07,82,36.44,1.1,Toy Bike
2016,2942,10.34,27.89,49344.87,144,28.73,1.5,Train Set
2022,1316,95.05,17.48,38582.06,105,46.51,1.6,Remote Control Car
2020,1523,5.36,32.2,18709.54,47,40.79,3.9,Building Blocks
2016,4784,97.8,21.1,49167.63,28,65.02,2.5,Puzzle Game
2019,1647,74.24,40.58,5528.97,149,31.65,2.4,Teddy Bear
2015,2575,36.21,21.58,23744.61,41,73.34,3.2,Train Set
2024,4843,71.29,28.62,3883.71,45,88.39,1.5,Puzzle Game
2020,3811,82.7,16.05,17413.29,97,65.88,2.1,Barbie Doll
2023,2792,28.31,35.2,11748.84,112,50.99,2.9,Teddy Bear
2015,4685,78.24,32.74,16510.99,192,23.71,2.9,Teddy Bear
2025,4475,81.42,19.85,47423.06,141,88.57,3.4,Barbie Doll
2025,519,28.69,13.8,21932.16,171,31.82,2.2,Train Set
2024,3880,8.98,30.71,16918.18,119,55.47,2.5,Teddy Bear
2017,583,24.39,47.16,32397.85,110,45.4,1.3,Train Set
2021,4612,24.06,6.63,34485.09,117,25.95,3.6,Action Figure
2018,4105,11.2,39.96,49204.67,58,72.47,3.0,Barbie Doll
2023,3729,73.97,27.15,27756.83,20,19.43,1.2,Toy Bike
2017,4137,41.1,26.28,37875.62,114,44.39,3.0,Teddy Bear
2019,811,89.02,48.08,19726.09,191,26.91,2.0,Toy Bike
2017,940,28.96,30.29,9380.6,1,53.97,1.6,Train Set
2021,2405,48.06,41.53,22061.94,23,78.86,1.0,Remote Control Car
2019,2005,65.71,25.72,21520.02,33,81.26,4.9,Remote Control Car
2023,3021,88.36,12.49,21610.06,185,52.44,4.8,Barbie Doll
2021,1722,54.84,34.72,35075.62,182,29.33,4.3,Barbie Doll
2016,2886,40.48,46.16,20891.17,194,40.68,1.9,Puzzle Game
2018,4977,87.37,42.06,47753.97,95,65.1,4.5,Building Blocks
2023,4989,34.47,9.92,49154.73,123,33.03,4.6,Teddy Bear
2016,3694,12.55,15.84,26644.71,159,22.28,1.3,Remote Control Car
2024,2347,47.28,25.84,28363.76,182,32.26,3.1,Train Set
2023,4111,79.58,28.58,20973.69,144,19.72,1.4,Teddy Bear
2024,3216,7.92,9.69,18424.09,165,32.13,3.1,Toy Bike
2019,1369,60.66,11.5,49281.0,101,13.48,4.4,Building Blocks
2016,233,61.47,37.94,2992.19,135,14.99,3.5,Building Blocks
2018,1333,93.21,36.52,21094.23,1,78.68,1.3,Toy Bike
2021,2896,32.21,41.96,8415.68,146,24.26,1.0,Remote Control Car
2022,2283,31.49,46.65,36587.73,170,77.5,1.4,Action Figure
2017,4138,46.85,15.41,10527.84,39,89.67,4.6,Building Blocks
2015,1482,38.91,42.98,44347.64,26,41.24,4.9,Toy Bike
2018,3190,74.95,33.3,19349.42,75,45.82,2.9,Action Figure
2016,1846,65.97,47.89,45940.29,193,32.88,2.4,Barbie Doll
2022,4772,77.1,13.6,49341.56,125,19.54,2.4,Toy Bike
2018,2105,82.9,13.48,38787.4,125,60.95,2.7,Remote Control Car
2016,3386,92.68,35.21,31534.74,57,77.84,2.6,Train Set
2020,832,45.94,46.42,8345.18,197,63.55,4.1,Teddy Bear
2020,1557,98.55,41.23,46719.96,17,18.75,3.1,Toy Bike
2024,4920,25.49,36.35,39066.47,135,58.53,1.3,Toy Bike
2018,3904,72.86,19.37,15114.24,102,61.14,1.4,Train Set
2020,726,55.73,35.89,23956.59,199,65.18,1.4,Building Blocks
2016,1880,82.61,40.05,4315.59,12,15.56,2.6,Puzzle Game
2024,4140,50.29,37.66,33291.02,38,65.85,2.1,Teddy Bear
2016,4356,79.47,33.84,7137.97,176,58.37,2.5,Barbie Doll
2024,1410,93.37,2.36,32925.03,183,79.45,1.4,Action Figure
2018,4635,74.57,32.99,33906.13,54,23.21,4.6,Train Set
2022,2736,78.73,23.91,16906.82,72,14.97,4.3,Puzzle Game
2021,240,11.38,48.08,47484.47,15,75.03,3.2,Action Figure
2023,892,24.47,30.36,39169.16,30,18.24,3.3,Teddy Bear
2022,384,97.56,30.41,25339.95,55,40.41,3.0,Action Figure
2019,1160,70.85,49.7,46009.89,73,79.51,1.9,Train Set
2016,628,58.34,4.68,42936.32,109,32.26,3.6,Teddy Bear
2019,111,39.86,13.82,34918.69,149,45.34,1.4,Teddy Bear
2022,436,9.22,32.8,8495.3,60,59.14,3.3,Puzzle Game
2024,1219,40.07,15.76,25356.62,136,61.13,2.8,Puzzle Game
2023,2250,52.4,17.31,43356.72,175,57.53,1.2,Toy Bike
2023,4764,25.09,44.63,30835.69,120,14.85,2.7,Puzzle Game
2015,1733,21.45,28.97,27730.06,164,72.27,3.4,Toy Bike
2023,536,53.3,5.14,47805.99,73,73.6,1.3,Toy Bike
2021,3782,60.66,15.54,1810.86,26,18.34,2.2,Teddy Bear
2023,590,27.79,3.8,1590.27,84,69.17,1.8,Puzzle Game
2022,2110,60.8,27.81,44748.21,123,50.31,1.1,Puzzle Game
2015,4296,90.53,8.66,2888.32,70,11.01,1.3,Train Set
2022,1288,49.95,42.86,17294.64,162,65.53,1.8,Toy Bike
2022,1040,86.45,28.87,46277.25,60,46.86,3.4,Toy Bike
2025,4517,93.09,2.97,34866.48,151,20.13,4.8,Teddy Bear
2017,2349,13.78,15.04,32759.79,125,24.07,3.6,Barbie Doll
2015,3957,14.1,30.82,33192.92,85,70.62,4.9,Train Set
2022,4338,50.22,16.77,16564.51,169,85.62,4.9,Toy Bike
2017,1130,60.87,25.66,26996.15,90,23.12,3.1,Building Blocks
2017,247,45.46,45.47,31868.68,69,42.19,1.9,Building Blocks
2015,2244,36.01,17.5,15980.05,183,35.57,4.7,Building Blocks
2025,1648,65.89,16.79,39972.83,73,56.94,3.1,Action Figure
2019,1650,5.2,40.99,16765.67,124,25.62,1.6,Teddy Bear
2024,3742,96.97,15.94,4500.76,45,56.32,2.5,Barbie Doll
2021,3915,27.05,3.9,10871.27,61,76.5,2.3,Puzzle Game
2024,733,92.12,9.05,21012.11,161,61.29,2.4,Barbie Doll
2023,3133,15.36,47.44,45494.74,180,25.54,1.4,Toy Bike
2021,4039,27.62,46.66,21372.32,111,69.92,2.8,Barbie Doll
2023,382,27.31,11.24,5400.39,81,46.82,3.1,Teddy Bear
2022,1821,99.63,27.68,10626.38,104,19.03,4.5,Toy Bike
2016,4250,5.44,6.87,27678.91,111,36.17,1.3,Teddy Bear
2015,2771,65.77,33.73,9705.14,19,29.32,4.2,Train Set
2021,856,87.62,9.27,4133.78,8,77.48,3.5,Building Blocks
2021,1114,68.87,2.49,36026.59,198,28.16,4.9,Puzzle Game
2022,938,39.46,41.24,39433.02,134,50.95,4.3,Teddy Bear
2019,2973,96.04,16.27,42681.03,185,62.18,2.8,Building Blocks
2017,370,89.88,5.43,42352.77,88,14.51,4.1,Remote Control Car
2022,4007,46.23,41.7,19583.72,60,21.27,4.7,Teddy Bear
2020,2432,59.47,38.12,36989.03,119,72.97,3.0,Building Blocks
2025,3281,96.91,34.19,29593.4,147,37.51,2.1,Barbie Doll
2017,2361,98.34,45.56,2144.85,125,66.16,2.6,Toy Bike
2015,3651,47.73,24.46,20678.31,180,70.74,2.7,Remote Control Car
2017,1550,85.5,6.4,3591.07,169,61.41,3.4,Building Blocks
2019,1618,33.69,3.07,5084.45,91,56.54,2.7,Puzzle Game
2017,3331,40.32,15.92,3744.12,88,49.6,3.4,Toy Bike
2015,1569,20.66,4.34,48086.38,166,41.44,1.1,Puzzle Game
2019,1968,24.87,26.78,42365.85,127,21.96,2.5,Action Figure
2024,4139,67.4,0.72,22516.12,69,87.83,3.7,Action Figure
